homeShotsTotalFT,awayShotsTotalFT,homeShotsOnTargetFT,awayShotsOnTargetFT,homeInterceptionsFT,awayInterceptionsFT,homeTacklesTotalFT,awayTacklesTotalFT,homeTackleSuccessFT,awayTackleSuccessFT,homeFoulsCommitedFT,awayFoulsCommitedFT,homePassesKeyFT,awayPassesKeyFT,homePassSuccessFT,awayPassSuccessFT,homePossessionFT,awayPossessionFT,homeDribbleSuccessFT,awayDribbleSuccessFT,homeAerialsTotalFT,awayAerialsTotalFT,homeCornersTotalFT,awayCornersTotalFT,division
12,12,6,2,23,17,29,21,65.22,76.47,13,10,9,10,73.71,71.09,46.56,53.44,30.77,65.38,24,24,8,4,Serie_A
5,10,1,2,13,23,28,40,75.44,69.7,12,18,4,8,59.98,59.11,48.77,51.23,60.53,75,46,46,2,9,Serie_A
10,15,4,7,16,5,32,31,45.68,68.75,20,12,7,10,54.88,76.77,32.19,67.81,65.38,71.43,28,28,7,9,Serie_A
5,25,0,9,13,12,44,21,55,85.19,23,15,4,21,44.29,83.64,33.97,66.03,33.33,61.36,19,19,2,6,Serie_A
23,7,6,2,15,27,24,21,81.58,57.89,21,23,20,6,77.11,55.68,62.55,37.45,50,71.43,24,24,7,3,Serie_A
22,3,7,0,11,34,19,39,80.21,83.33,9,13,17,2,80.15,42.48,74.1,25.9,33.33,26.39,33,33,13,1,Serie_A
12,8,4,3,26,31,13,24,72.73,46.67,25,18,10,5,68.9,61.88,55.48,44.52,82.14,60,34,34,6,2,Serie_A
22,9,5,5,21,28,12,32,77.78,67.24,14,14,11,5,76.52,46.96,60.71,39.29,55.56,41.67,43,43,9,0,Serie_A
11,9,2,3,25,12,25,26,68.18,85.42,19,14,9,6,63.53,73.07,42.17,57.83,33.33,68.18,20,20,5,3,Serie_A
13,10,4,4,14,17,25,24,50,65,12,12,11,8,78.28,76.04,53.9,46.1,53.85,76.67,29,29,4,5,Serie_A
12,10,3,5,17,16,11,26,66.67,78.57,18,20,9,8,70.72,69.34,48.43,51.57,45.83,50,21,21,3,3,Serie_A
18,8,7,4,29,23,29,25,54.55,65,8,8,15,5,80.11,60.81,61.99,38.01,53.57,64.71,18,18,9,3,Serie_A
7,19,2,6,18,19,29,15,70.29,61.54,14,8,7,16,40.55,80.43,32.33,67.67,50,43.75,33,33,4,6,Serie_A
29,10,6,2,6,25,11,34,90,74.93,11,25,24,7,79.15,47.65,68.26,31.74,69.7,50,24,24,16,1,Serie_A
11,16,4,2,27,11,30,15,72.22,82.14,16,14,9,16,63.46,73.86,40.71,59.29,50,57.69,31,31,5,7,Serie_A
13,7,4,1,17,15,21,42,66.67,69.35,10,13,12,6,77.93,79.94,44.53,55.47,52.63,54.55,16,16,4,3,Serie_A
14,6,6,2,28,21,25,36,69.57,71.43,14,15,11,3,69.17,59.97,55.86,44.14,60,38.89,46,46,5,3,Serie_A
18,20,5,8,12,15,28,37,39.58,70,12,22,10,19,78.75,76.12,50.87,49.13,72.62,75,23,23,9,3,Serie_A
10,9,2,2,13,31,21,23,69.44,50,10,15,9,7,71.29,68.34,55.47,44.53,75,45.83,18,18,7,6,Serie_A
10,11,2,2,19,32,24,33,66.67,67.33,15,11,8,8,71.58,61.95,53.94,46.06,42.98,68.18,43,43,8,5,Serie_A
13,6,8,1,15,16,23,30,43.52,39.13,13,14,8,3,76.42,60.32,61.31,38.69,78.95,59.8,24,24,7,4,Serie_A
13,9,6,2,3,23,33,24,77.78,76.39,16,18,10,6,73.76,62.55,62.36,37.64,40.28,38.09,35,35,3,3,Serie_A
8,10,1,0,22,23,39,27,59.68,73.81,15,11,4,8,71.38,74.59,38.9,61.1,50,63.64,19,19,1,8,Serie_A
6,19,3,3,23,14,32,21,45,47.06,16,11,4,13,64.01,71.02,43.99,56.01,69.23,68.75,29,29,7,7,Serie_A
21,13,8,6,9,24,37,32,64.94,68,14,13,12,7,72.75,66.53,58.96,41.04,50,46.38,41,41,3,3,Serie_A
